courseID,courseTitle,URL,outcomeLearning,provider,technologySkill,rating,peopleRating,numStudent,duration,durationSecond,fee,feeVND,level,majobSubject,language
COURSE_001,"Machine Learning A-Z™: Hands-On Python & R In Data Science",https://www.udemy.com/course/machinelearning/,"Master Machine Learning on Python & R Have a great intuition of many Machine Learning models Make accurate predictions Make powerful analysis Make robust Machine Learning models Create strong added value to your business Use Machine Learning for personal purpose Handle specific topics like Reinforcement Learning, NLP and Deep Learning Handle advanced techniques like Dimensionality Reduction Know which Machine Learning model to choose for each type of problem Build an army of powerful Machine Learning models and know how to combine them to solve any problem",Udemy,"Machine Learning, Reinforcement Learning (RL), R, NLP, Deep Learning, Machine Learning, Python",4.5,162660,783844,44h 29m,160140,12.99,299056,"All Levels","Data Science","English, French, German, Italian, Portuguese, Spanish"
COURSE_002,"Python for Data Science and Machine Learning Bootcamp",https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,"Use Python for Data Science and Machine Learning Use Spark for Big Data Analysis Implement Machine Learning Algorithms Learn to use NumPy for Numerical Data Learn to use Pandas for Data Analysis Learn to use Matplotlib for Python Plotting Learn to use Seaborn for statistical plots Use Plotly for interactive dynamic visualizations Use SciKit-Learn for Machine Learning Tasks K-Means Clustering Logistic Regression Linear Regression Random Forest and Decision Trees Natural Language Processing and Spam Filters Neural Networks Support Vector Machines",Udemy,"Pandas, Big Data, Data Science, Machine Learning, NLP, Neural Network, NumPy, Plotly, Python, Seaborn, Apache Spark, SVM",4.6,121700,45961,24h 54m,89640,12.99,299056,"All Levels","Data Science","English, French, German, Indonesian, Italian, Polish, Portuguese, Spanish"
COURSE_003,"The Data Science Course 2021: Complete Data Science Bootcamp",https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,"The course provides the entire toolbox you need to become a data scientist Fill up your resume with in demand data science skills: Statistical analysis, Python programming with NumPy, pandas, matplotlib, and Seaborn, Advanced statistical analysis, Tableau, Machine Learning with stats models and scikit-learn, Deep learning with TensorFlow Impress interviewers by showing an understanding of the data science field Learn how to pre-process data Understand the mathematics behind Machine Learning (an absolute must which other courses don't teach!) Start coding in Python and learn how to use it for statistical analysis Perform linear and logistic regressions in Python Carry out cluster and factor analysis Be able to create Machine Learning algorithms in Python, using NumPy, statsmodels and scikit-learn Apply your skills to real-life business cases Use state-of-the-art Deep Learning frameworks such as Google's TensorFlowDevelop a business intuition while coding and solving tasks with big data Unfold the power of deep neural networks Improve Machine Learning algorithms by studying underfitting, overfitting, training, validation, n-fold cross validation, testing, and how hyperparameters could improve performance Warm up your fingers as you will be eager to apply everything you have learned here to more and more real-life situations",Udemy,"Machine Learning, NumPy, Seaborn, Python, Pandas, Tableau, Deep Learning",4.5,113726,406641,28h 54m,104040,12.99,299056,"All Levels","Data Science","English, French, German, Indonesian, Italian, Polish, Portuguese, Spanish"
COURSE_004,"R Programming A-Z™: R For Data Science With Real Exercises!",https://www.udemy.com/course/r-programming/,"Learn to program in R at a good level Learn how to use R Studio Learn the core principles of programming Learn how to create vectors in R Learn how to create variables Learn about integer, double, logical, character and other types in R Learn how to create a while() loop and a for() loop in R Learn how to build and use matrices in R Learn the matrix() function, learn rbind() and cbind() Learn how to install packages in R Learn how to customize R studio to suit your preferences Understand the Law of Large Numbers Understand the Normal distribution Practice working with statistical data in R Practice working with financial data in R Practice working with sports data in R",Udemy,"R, R Studio",4.6,48004,210162,10h 39m,38340,12.99,299056,"All Levels","Data Science","English, French, German, Indonesian, Italian, Japanese, Polish, Portuguese, Romanian, Spanish, Turkish"
COURSE_005,"Deep Learning A-Z™: Hands-On Artificial Neural Networks",https://www.udemy.com/course/deeplearning/,"Understand the intuition behind Artificial Neural Networks Apply Artificial Neural Networks in practice Understand the intuition behind Convolutional Neural Networks Apply Convolutional Neural Networks in practice Understand the intuition behind Recurrent Neural Networks Apply Recurrent Neural Networks in practice Understand the intuition behind Self-Organizing Maps Apply Self-Organizing Maps in practice Understand the intuition behind Boltzmann Machines Apply Boltzmann Machines in practice Understand the intuition behind AutoEncoders Apply AutoEncoders in practice",Udemy,"ANN, CNN, Neural Network",4.5,41258,307705,22h 37m,81420,12.99,299056,"All Levels","Data Science","English, French, German, Indonesian, Italian, Portuguese, Spanish"
COURSE_006,"Data Science A-Z™: Real-Life Data Science Exercises Included",https://www.udemy.com/course/datascience/,"Successfully perform all steps in a complex Data Science project Create Basic Tableau Visualisations Perform Data Mining in Tableau Understand how to apply the Chi-Squared statistical test Apply Ordinary Least Squares method to Create Linear Regressions Assess R-Squared for all types of models Assess the Adjusted R-Squared for all types of models Create a Simple Linear Regression (SLR) Create a Multiple Linear Regression (MLR) Create Dummy Variables Interpret coefficients of an MLR Read statistical software output for created models Use Backward Elimination, Forward Selection, and Bidirectional Elimination methods to create statistical models Create a Logistic Regression Intuitively understand a Logistic Regression Operate with False Positives and False Negatives and know the difference Read a Confusion Matrix Create a Robust Geodemographic Segmentation Model Transform independent variables for modelling purposes Derive new independent variables for modelling purposes Check for multicollinearity using VIF and the correlation matrix Understand the intuition of multicollinearity Apply the Cumulative Accuracy Profile (CAP) to assess models Build the CAP curve in Excel Use Training and Test data to build robust models Derive insights from the CAP curve Understand the Odds Ratio Derive business insights from the coefficients of a logistic regression Understand what model deterioration actually looks like Apply three levels of model maintenance to prevent model deterioration Install and navigate SQL Server Install and navigate Microsoft Visual Studio Shell Clean data and look for anomalies Use SQL Server Integration Services (SSIS) to upload data into a database Create Conditional Splits in SSIS Deal with Text Qualifier errors in RAW data Create Scripts in SQL Apply SQL to Data Science projects Create stored procedures in SQL Present Data Science projects to stakeholders",Udemy,"SSIS, Microsoft Visual Studio, Data Science, SQL, Tableau",4.6,32343,191089,21h 13m,76380,12.99,299056,"All Levels","Data Science","English, French, German, Italian, Polish, Portuguese, Spanish"
COURSE_007,"Machine Learning, Data Science and Deep Learning with Python",https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,"Build artificial neural networks with Tensorflow and Keras Classify images, data, and sentiments using deep learning Make predictions using linear regression, polynomial regression, and multivariate regression Data Visualization with MatPlotLib and Seaborn Implement machine learning at massive scale with Apache Spark's MLLib Understand reinforcement learning - and how to build a Pac-Man bot Classify data using K-Means clustering, Support Vector Machines (SVM), KNN, Decision Trees, Naive Bayes, and PCA Use train/test and K-Fold cross validation to choose and tune your models Build a movie recommender system using item-based and user-based collaborative filtering Clean your input data to remove outliers Design and evaluate A/B tests using T-Tests and P-Values",Udemy,"Apache Spark, SVM, Matplotlib, Keras, Naive Bayes, PCA, Tensorflow, KNN",4.6,27931,149757,14h 25m,51900,12.99,299056,"Beginner Level","Data Science","English, Italian, Polish, Portuguese"
COURSE_008,"Python A-Z™: Python For Data Science With Real Exercises!",https://www.udemy.com/course/python-coding/,"Learn to program in Python at a good level Learn how to code in Jupiter Notebooks Learn the core principles of programming Learn how to create variables Learn about integer, float, logical, string and other types in Python Learn how to create a while() loop and a for() loop in Python Learn how to install packages in Python Understand the Law of Large Numbers",Udemy,"Jupyter, Python",4.6,24947,129722,11h 10m,40200,12.99,299056,"All Levels","Data Science","English, Portuguese"
COURSE_009,"Statistics for Data Science and Business Analysis",https://www.udemy.com/course/statistics-for-data-science-and-business-analysis/,"Understand the fundamentals of statistics Learn how to work with different types of data How to plot different types of data Calculate the measures of central tendency, asymmetry, and variability Calculate correlation and covariance Distinguish and work with different types of distributions Estimate confidence intervals Perform hypothesis testing Make data driven decisions Understand the mechanics of regression analysis Carry out regression analysis Use and understand dummy variables Understand the concepts needed for data science even with Python and R!",Udemy,"R, Python",4.5,33905,107892,4h 51m,17460,12.99,299056,"All Levels","Data Science","English, French, German, Indonesian, Italian, Polish, Portuguese, Romanian, Spanish"
COURSE_010,"Artificial Intelligence A-Z™: Learn How To Build An AI",https://www.udemy.com/course/artificial-intelligence-az/,"Build an AI Understand the theory behind Artificial Intelligence Make a virtual Self Driving Car Make an AI to beat games Solve Real World Problems with AI Master the State of the Art AI models Q-Learning Deep Q-Learning Deep Convolutional Q-Learning A3C",Udemy,AI,4.4,21637,159704,16h 31m,59460,16.99,391144,"All Levels","Data Science","English, French, German, Indonesian, Italian, Japanese, Polish, Portuguese, Romanian, Spanish, Turkish"
COURSE_011,"Complete Guide to TensorFlow for Deep Learning with Python",https://www.udemy.com/course/complete-guide-to-tensorflow-for-deep-learning-with-python/,"Understand how Neural Networks Work Build your own Neural Network from Scratch with Python Use TensorFlow for Classification and Regression Tasks Use TensorFlow for Image Classification with Convolutional Neural Networks Use TensorFlow for Time Series Analysis with Recurrent Neural Networks Use TensorFlow for solving Unsupervised Learning Problems with AutoEncoders Learn how to conduct Reinforcement Learning with OpenAI Gym Create Generative Adversarial Networks with TensorFlow Become a Deep Learning Guru!",Udemy,"RNN, Tensorflow, Reinforcement Learning (RL), Deep Learning, CNN, Python, Scratch, Unsupervised Learning",4.5,16531,88748,14h 9m,50940,12.99,299056,"Intermediate Level","Data Science","English, French, German, Indonesian, Italian, Japanese, Polish, Portuguese, Romanian, Spanish, Turkish"
COURSE_012,"Data Science and Machine Learning Bootcamp with R",https://www.udemy.com/course/data-science-and-machine-learning-bootcamp-with-r/,"Program in R Use R for Data Analysis Create Data Visualizations Use R to handle csv,excel,SQL files or web scraping Use R to manipulate data easily Use R for Machine Learning Algorithms Use R for Data Science",Udemy,"R, Data Analysis, Data Science, Machine Learning, SQL",4.7,15385,70411,17h 45m,63900,12.99,299056,"All Levels","Data Science","English, French, German, Indonesian, Italian, Polish, Portuguese, Romanian, Spanish, Thai"
COURSE_013,"Apache Spark with Scala - Hands On with Big Data!",https://www.udemy.com/course/apache-spark-with-scala-hands-on-with-big-data/,"Frame big data analysis problems as Apache Spark scripts Develop distributed code using the Scala programming language Optimize Spark jobs through partitioning, caching, and other techniques Build, deploy, and run Spark scripts on Hadoop clusters Process continual streams of data with Spark Streaming Transform structured data using SparkSQL, DataSets, and DataFrames Traverse and analyze graph structures using GraphX Analyze massive data set with Machine Learning on Spark",Udemy,"Apache Spark, Apache Hadoop, Scala, Machine Learning, SQL",4.6,16169,71845,9h 4m,32640,12.99,299056,"All Levels","Data Science","English, French, German, Italian, Polish, Portuguese, Spanish"
COURSE_014,"Taming Big Data with Apache Spark and Python - Hands On!",https://www.udemy.com/course/taming-big-data-with-apache-spark-hands-on/,"Use DataFrames and Structured Streaming in Spark 3 Frame big data analysis problems as Spark problems Use Amazon's Elastic MapReduce service to run your job on a cluster with Hadoop YARN Install and run Apache Spark on a desktop computer or on a cluster Use Spark's Resilient Distributed Datasets to process and analyze large data sets across many CPU's Implement iterative algorithms such as breadth-first-search using Spark Use the MLLib machine learning library to answer common data mining questions Understand how Spark SQL lets you work with structured data Understand how Spark Streaming lets your process continuous streams of data in real time Tune and troubleshoot large jobs running on a cluster Share information between nodes on a Spark cluster using broadcast variables and accumulators Understand how the GraphX library helps with network analysis problems",Udemy,"Elastic Search, Apache Spark, Spark GraphX, Apache Hadoop, SQL",4.5,13726,61186,6h 54m,24840,12.99,299056,"All Levels","Data Science","English, French, German, Italian, Polish, Portuguese, Spanish"
COURSE_015,"Data Science: Natural Language Processing (NLP) in Python",https://www.udemy.com/course/data-science-natural-language-processing-in-python/,"Write your own cipher decryption algorithm using genetic algorithms and language modeling with Markov models Write your own spam detection code in Python Write your own sentiment analysis code in Python Perform latent semantic analysis or latent semantic indexing in Python Have an idea of how to write your own article spinner in Python",Udemy,"Markov Chain Monte Carlo (MCMC), Python",4.5,11139,38273,9h 55m,35700,12.99,299056,"All Levels","Data Science","English, German, Polish, Portuguese, Spanish"
COURSE_016,"Data Science: Deep Learning and Neural Networks in Python",https://www.udemy.com/course/data-science-deep-learning-in-python/,"Learn how Deep Learning REALLY works (not just some diagrams and magical black box code) Learn how a neural network is built from basic building blocks (the neuron) Code a neural network from scratch in Python and numpy Code a neural network using Google's TensorFlow Describe different types of neural networks and the different types of problems they are used for Derive the backpropagation rule from first principles Create a neural network with an output that has K > 2 classes using softmax Describe the various terms related to neural networks, such as "activation", "backpropagation" and "feedforward" Install TensorFlow",Udemy,"Python, Deep Learning",4.6,8697,46512,11h 9m,40140,12.99,299056,"Intermediate Level","Data Science","English, Portuguese, Spanish"
COURSE_017,"Introduction to Machine Learning for Data Science",https://www.udemy.com/course/machine-learning-for-data-science/,"Genuinely understand what Computer Science, Algorithms, Programming, Data, Big Data, Artificial Intelligence, Machine Learning, and Data Science is. To understand how these different domains fit together, how they are different, and how to avoid the marketing fluff. The Impacts Machine Learning and Data Science is having on society. To really understand computer technology has changed the world, with an appreciation of scale. To know what problems Machine Learning can solve, and how the Machine Learning Process works. How to avoid problems with Machine Learning, to successfully implement it without losing your mind!",Udemy,"Data Science, Big Data, Machine Learning, AI, Computer Science",4.4,12134,48167,5h 33m,19980,12.99,299056,Beginner,"Data Science",English
COURSE_018,"R Programming: Advanced Analytics In R For Data Science",https://www.udemy.com/course/r-analytics/,"Perform Data Preparation in R Identify missing records in dataframes Locate missing data in your dataframes Apply the Median Imputation method to replace missing records Apply the Factual Analysis method to replace missing records Understand how to use the which() function Know how to reset the dataframe index Work with the gsub() and sub() functions for replacing strings Explain why NA is a third type of logical constant Deal with date-times in R Convert date-times into POSIXct time format Create, use, append, modify, rename, access and subset Lists in R Understand when to use [] and when to use [[]] or the $ sign when working with Lists Create a timeseries plot in R Understand how the Apply family of functions works Recreate an apply statement with a for() loop Use apply() when working with matrices Use lapply() and sapply() when working with lists and vectors Add your own functions into apply statements Nest apply(), lapply() and sapply() functions within each other Use the which.max() and which.min() functions",Udemy,R,4.7,8126,50935,5h 58m,21480,12.99,299056,"Intermediate Level","Data Science","English, French, German, Indonesian, Italian, Polish, Portuguese, Romanian, Spanish"
COURSE_019,"NLP - Natural Language Processing with Python",https://www.udemy.com/course/nlp-natural-language-processing-with-python/,"Learn to work with Text Files with Python Learn how to work with PDF files in Python Utilize Regular Expressions for pattern searching in text Use Spacy for ultra fast tokenization Learn about Stemming and Lemmatization Understand Vocabulary Matching with Spacy Use Part of Speech Tagging to automatically process raw text files Understand Named Entity Recognition Visualize POS and NER with Spacy Use SciKit-Learn for Text Classification Use Latent Dirichlet Allocation for Topic Modelling Learn about Non-negative Matrix Factorization Use the Word2Vec algorithm Use NLTK for Sentiment Analysis Use Deep Learning to build out your own chat bot",Udemy,"Deep Learning, Python",4.6,12009,42076,11h 24m,41040,12.99,299056,"Intermediate Level","Data Science","English, French, German, Indonesian, Italian, Portuguese, Spanish"
COURSE_020,"Deep Learning and Computer Vision A-Z™: OpenCV, SSD & GANs",https://www.udemy.com/course/computer-vision-a-z/,"Have a toolbox of the most powerful Computer Vision models Understand the theory behind Computer Vision Master OpenCV Master Object Detection Master Facial Recognition Create powerful Computer Vision applications",Udemy,OpenCV,4.5,45531,41038,11h 5m,39900,12.99,299056,"All Levels","Data Science","English, French, German, Indonesian, Italian, Japanese, Polish, Portuguese, Spanish, Romanian, Thai"
COURSE_021,"Complete Machine Learning & Data Science Bootcamp 2021",https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/,"Become a Data Scientist and get hired Master Machine Learning and use it on the job Deep Learning, Transfer Learning and Neural Networks using the latest Tensorflow 2.0 Use modern tools that big tech companies like Google, Apple, Amazon and Facebook use Present Data Science projects to management and stakeholders Learn which Machine Learning model to choose for each type of problem Real life case studies and projects to understand how things are done in the real world Learn best practices when it comes to Data Science Workflow Implement Machine Learning algorithms Learn how to program in Python using the latest Python 3 How to improve your Machine Learning Models Learn to pre process data, clean data, and analyze large data. Build a portfolio of work to have on your resume Developer Environment setup for Data Science and Machine Learning Supervised and Unsupervised Learning Machine Learning on Time Series data Explore large datasets using data visualization tools like Matplotlib and Seaborn Explore large datasets and wrangle data using Pandas Learn NumPy and how it is used in Machine Learning A portfolio of Data Science and Machine Learning projects to apply for jobs in the industry with all code and notebooks provided Learn to use the popular library Scikit-learn in your projects Learn about Data Engineering and how tools like Hadoop, Spark and Kafka are used in the industry Learn to perform Classification and Regression modelling Learn how to apply Transfer Learning",Udemy,"Pandas, NumPy, Data Science, Machine Learning, Apache Kafka, Seaborn, Unsupervised Learning, Neural Network, Matplotlib, Tensorflow, Apache Hadoop, Apache Spark, Deep Learning, Python",4.6,76516,45024,42h 58m,154680,12.99,299056,"All Levels","Data Science",English
COURSE_022,"Interactive Python Dashboards with Plotly and Dash",https://www.udemy.com/course/interactive-python-dashboards-with-plotly-and-dash/,"Learn about Plotly to create plots like Bar Charts, Line Charts, Scatter Plots, Heat Maps, and more! Create Layouts with Plotly's Dash library. Use Dash to create interactive components with Plotly. Learn how to connect multiple inputs and outputs with a dashboard. Update live interactive graphs with clicks, hover overs, and more. Connect the interactive dashboard to live updating data for streaming information. Learn how to secure your interactive dashboards with App Authorization. Deploy your interactive dashboards to the internet with services like Heroku.",Udemy,"Plotly, Python",4.7,42197,33661,9h 43m,34980,12.99,299056,"Intermediate Level","Data Science",English
COURSE_023,"Deep Learning Prerequisites: Linear Regression in Python",https://www.udemy.com/course/data-science-linear-regression-in-python/,"Derive and solve a linear regression model, and apply it appropriately to data science problems Program your own version of a linear regression model in Python",Udemy,Python,4.6,5432,2726,6h 18m,22680,13.99,322078,"All Levels","Data Science",English
COURSE_024,"Scala and Spark for Big Data and Machine Learning",https://www.udemy.com/course/scala-and-spark-for-big-data-and-machine-learning/,"Use Scala for Programming Use Spark 2.0 DataFrames to read and manipulate data Use Spark to Process Large Datasets Understand hot to use Spark on AWS and DataBricks",Udemy,"Amazon Web Services (AWS), Azure Databricks, Scala, Apache Spark",4.5,30009,2794,10h 11m,36660,12.99,299056,"All Levels","Data Science",English
COURSE_025,"Cluster Analysis and Unsupervised Machine Learning in Python",https://www.udemy.com/course/cluster-analysis-unsupervised-machine-learning-python/,"Understand the regular K-Means algorithm Understand and enumerate the disadvantages of K-Means Clustering Understand the soft or fuzzy K-Means Clustering algorithm Implement Soft K-Means Clustering in Code Understand Hierarchical Clustering Explain algorithmically how Hierarchical Agglomerative Clustering works Apply Scipy's Hierarchical Clustering library to data Understand how to read a dendrogram Understand the different distance metrics used in clustering Understand the difference between single linkage, complete linkage, Ward linkage, and UPGMA Understand the Gaussian mixture model and how to use it for density estimation Write a GMM in Python code Explain when GMM is equivalent to K-Means Clustering Explain the expectation-maximization algorithm Understand how GMM overcomes some disadvantages of K-Means Understand the Singular Covariance problem and how to fix it",Udemy,Python,4.7,4529,21869,7h 54m,28440,29.99,69043,"Beginner Level","Data Science","English, Portuguese, Spanish"
COURSE_026,"SQL & Database Design A-Z™: Learn MS SQL Server + PostgreSQL",https://www.udemy.com/course/sqldatabases/,"Create basic SQL Queries Create advanced SQL Queries Create Left, Right, Inner and Full Outer joins Create new tables, alter existing tables in Databases Normalize Databases Understand database design Understand first, second and third normal form schemas",Udemy,SQL,4.4,4859,24236,12h 36m,45360,12.99,299056,"All Levels","Data Science","English, French, German, Italian, Portuguese, Spanish"
COURSE_027,"Tensorflow 2.0: Deep Learning and Artificial Intelligence",https://www.udemy.com/course/deep-learning-tensorflow-2/,"Artificial Neural Networks (ANNs) / Deep Neural Networks (DNNs) Predict Stock Returns Time Series Forecasting Computer Vision How to build a Deep Reinforcement Learning Stock Trading Bot GANs (Generative Adversarial Networks) Recommender Systems Image Recognition Convolutional Neural Networks (CNNs) Recurrent Neural Networks (RNNs) Use Tensorflow Serving to serve your model using a RESTful API Use Tensorflow Lite to export your model for mobile (Android, iOS) and embedded devices Use Tensorflow's Distribution Strategies to parallelize learning Low-level Tensorflow, gradient tape, and how to build your own custom models Natural Language Processing (NLP) with Deep Learning Demonstrate Moore's Law using Code Transfer Learning to create state-of-the-art image classifiers",Udemy,"Deep Learning, ANN, Android, CNN, NLP, Neural Network, RNN, Tensorflow, RESTful API",4.6,7882,29564,21h 28m,77280,12.99,299056,"All Levels","Data Science",English
COURSE_028,"Advanced AI: Deep Reinforcement Learning in Python",https://www.udemy.com/course/deep-reinforcement-learning-in-python/,"Build various deep learning agents (including DQN and A3C) Apply a variety of advanced reinforcement learning algorithms to any problem Q-Learning with Deep Neural Networks Policy Gradient Methods with Neural Networks Reinforcement Learning with RBF Networks Use Convolutional Neural Networks with Deep Q-Learning",Udemy,"CNN, Neural Network, Reinforcement Learning (RL)",4.5,4584,33099,10h 29m,37740,29.99,69043,"Expert Level","Data Science","English, Italian, Polish, Portuguese, Spanish"
COURSE_029,"Deep Learning: Convolutional Neural Networks in Python",https://www.udemy.com/course/deep-learning-convolutional-neural-networks-theano-tensorflow/,"Understand convolution and why it's useful for Deep Learning Understand and explain the architecture of a convolutional neural network (CNN) Implement a CNN in TensorFlow 2 Apply CNNs to challenging Image Recognition tasks Apply CNNs to Natural Language Processing (NLP) for Text Classification (e.g. Spam Detection, Sentiment Analysis)",Udemy,"CNN, Deep Learning, NLP",4.6,4784,2681,11h 59m,43140,18.99,437188,"All Levels","Data Science","English, Italian, Polish, Portuguese, Spanish"
COURSE_030,"Complete Tensorflow 2 and Keras Deep Learning Bootcamp",https://www.udemy.com/course/complete-tensorflow-2-and-keras-deep-learning-bootcamp/,"Learn to use TensorFlow 2.0 for Deep Learning Leverage the Keras API to quickly build models that run on Tensorflow 2 Perform Image Classification with Convolutional Neural Networks Use Deep Learning for medical imaging Forecast Time Series data with Recurrent Neural Networks Use Generative Adversarial Networks (GANs) to generate images Use deep learning for style transfer Generate text with RNNs and Natural Language Processing Serve Tensorflow Models through an API Use GPUs for accelerated deep learning",Udemy,"Deep Learning, Keras, Tensorflow, API, CNN, NLP, Neural Network, RNN",4.7,6673,29376,19h 11m,69060,12.99,299056,"All Levels","Data Science",English
COURSE_031,"Deep Learning Prerequisites: Logistic Regression in Python",https://www.udemy.com/course/data-science-logistic-regression-in-python/,"program logistic regression from scratch in Python describe how logistic regression is useful in data science derive the error and update rule for logistic regression understand how logistic regression works as an analogy for the biological neuron use logistic regression to solve real-world business problems like predicting user actions from e-commerce data and facial expression recognition understand why regularization is used in machine learning",Udemy,Python,4.6,3743,24924,6h 16m,22560,13.99,322078,"All Levels","Data Science","English, Polish, Portuguese"
COURSE_032,"DP-100: A-Z Machine Learning using Azure Machine Learning",https://www.udemy.com/course/machine-learning-using-azureml/,"Prepare for and Pass the Azure DP-100 Exam Master Data Science and Machine Learning Models using Azure ML. Data Processing using Python and Pandas AzureML SDK for Python for complete Machine Learning Lifecycle. Azure Automated Machine Learning for faster and efficient Machine Learning model development and deployment Understand the concepts and intuition of Machine Learning algorithms Build Machine Learning models within minutes Deploy production grade Machine Learning algorithms Deploy Machine Learning webservices in the simplest manner",Udemy,"Machine Learning, Pandas, Microsoft Azure, Pandas, Data Science, Python, Azure Machine Learning",4.5,5711,23263,31h 50m,114600,12.99,299056,"All Levels","Data Science","English, French, German, Indonesian, Italian, Portuguese, Spanish"
COURSE_033,"Deep Learning: Recurrent Neural Networks in Python",https://www.udemy.com/course/deep-learning-recurrent-neural-networks-in-python/,"Apply RNNs to Time Series Forecasting (tackle the ubiquitous "Stock Prediction" problem) Apply RNNs to Natural Language Processing (NLP) and Text Classification (Spam Detection) Apply RNNs to Image Classification Understand the simple recurrent unit (Elman unit), GRU, and LSTM (long short-term memory unit) Write various recurrent networks in Tensorflow 2 Understand how to mitigate the vanishing gradient problem",Udemy,"NLP, LSTM, RNN, Tensorflow",4.5,30241,25158,11h 55m,42900,18.99,437188,"All Levels","Data Science","English, Italian, Polish, Spanish"
COURSE_034,"Streaming Big Data with Spark Streaming and Scala - Hands On",https://www.udemy.com/course/taming-big-data-with-spark-streaming-hands-on/,"Process massive streams of real-time data using Spark Streaming Integrate Spark Streaming with data sources, including Kafka, Flume, and Kinesis Use Spark 2's Structured Streaming API Create Spark applications using the Scala programming language Output transformed real-time data to Cassandra or file systems Integrate Spark Streaming with Spark SQL to query streaming data in real time Train machine learning models with streaming data, and use those models for real-time predictions Ingest Apache access log data and transform streams of it Receive real-time streams of Twitter feeds Maintain stateful data across a continuous stream of input data Query streaming data across sliding windows of time",Udemy,"Apache Spark, SQL, Apache Cassandra, Apache Kafka, API, Apache Scala",4.7,25206,22435,6h 16m,22560,13.99,322078,"All Levels","Data Science","English, Italian"
COURSE_035,"The Complete Self-Driving Car Course - Applied Deep Learning",https://www.udemy.com/course/applied-deep-learningtm-the-complete-self-driving-car-course/,"Learn to apply Computer Vision and Deep Learning techniques to build automotive-related algorithms Understand, build and train Convolutional Neural Networks with Keras Simulate a fully functional Self-Driving Car with Convolutional Neural Networks and Computer Vision Train a Deep Learning Model that can identify between 43 different Traffic Signs Learn to use essential Computer Vision techniques to identify lane lines on a road Learn to build and train powerful Neural Networks with Keras Understand Neural Networks at the most fundamental perceptron-based level",Udemy,"Keras, Neural Network, CNN, Deep Learning",4.6,3692,1829,18h 7m,65220,13.99,322078,"All Levels","Data Science","English, French, German, Indonesian"
COURSE_036,"Unsupervised Machine Learning Hidden Markov Models in Python",https://www.udemy.com/course/unsupervised-machine-learning-hidden-markov-models-in-python/,"Understand and enumerate the various applications of Markov Models and Hidden Markov Models Understand how Markov Models work Write a Markov Model in code Apply Markov Models to any sequence of data Understand the mathematics behind Markov chains Apply Markov models to language Apply Markov models to website analytics Understand how Google's PageRank works Understand Hidden Markov Models Write a Hidden Markov Model in Code Write a Hidden Markov Model using Theano Understand how gradient descent, which is normally used in deep learning, can be used for HMMs",Udemy,"Markov Chain Monte Carlo (MCMC)",4.6,3497,22853,9h 8m,32880,29.99,69043,"All Levels","Data Science","English, Portuguese"
COURSE_037,"Deep Learning with Python and Keras",https://www.udemy.com/course/deep-learning-with-python-and-keras/,"To describe what Deep Learning is in a simple yet accurate way To explain how deep learning can be used to build predictive models To distinguish which practical applications can benefit from deep learning To install and use Python and Keras to build deep learning models To apply deep learning to solve supervised and unsupervised learning problems involving images, text, sound, time series and tabular data. To build, train and use fully connected, convolutional and recurrent neural networks To look at the internals of a deep learning model without intimidation and with the ability to tweak its parameters To train and run models in the cloud using a GPU To estimate training costs for large models To re-use pre-trained models to shortcut training time and cost (transfer learning)",Udemy,"Keras, Python, Deep Learning",4.7,3052,2135,9h 56m,35760,99.99,230197,"Intermediate Level","Data Science","English, Portuguese, Spanish"
COURSE_038,"The Complete Machine Learning Course with Python",https://www.udemy.com/course/machine-learning-course-with-python/,"Machine Learning Engineers earn on average $166,000 - become an ideal candidate with this course! Solve any problem in your business, job or personal life with powerful Machine Learning models Train machine learning algorithms to predict house prices, identify handwriting, detect cancer cells & more Go from zero to hero in Python, Seaborn, Matplotlib, Scikit-Learn, SVM, unsupervised Machine Learning etc",Udemy,"Machine Learning, Go, Machine Learning, Scikit-learn, Python, SVM, Seaborn",4.3,31498,24461,17h 18m,62280,94.99,218686,"All Levels","Data Science","English, Portuguese, Spanish"
COURSE_039,"R Programming for Statistics and Data Science 2021",https://www.udemy.com/course/r-programming-for-statistics-and-data-science/,"Learn the fundamentals of programming in R Work with R's conditional statements, functions, and loops Build your own functions in R Get your data in and out of R Learn the core tools for data science with R Manipulate data with the Tidyverse ecosystem of packages Systematically explore data in R The grammar of graphics and the ggplot2 package Visualise data: plot different types of data & draw insights Transform data: best practices of when and how Index, slice, and subset data Learn the fundamentals of statistics and apply them in practice Hypothesis testing in R Understand and carry out regression analysis in R Work with dummy variables Learn to make decisions that are supported by the data! Have fun by taking apart Star Wars and Pokemon data, as well some more serious data sets",Udemy,"R, ggplot2",4.6,24236,19155,6h 41m,24060,94.99,218686,"All Levels","Data Science",English
